epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,5.018833953643513,0.0016629431450426596,5.018833953643513,0.0016629431450426596
5,1.1903754186283038,0.6560146408787373,1.2842927591822972,0.6302568885150044
10,1.109697818987578,0.6790546685289877,1.3189328569118108,0.6247023481170932
15,1.0494542638075004,0.6968235411291547,1.3733201678668228,0.6196882355104443
20,1.0068298868762637,0.709649635045151,1.451843709589165,0.6153941186746101
25,0.9753590662502548,0.7188604172199878,1.5406863288344623,0.6097352851941747
30,0.9534558842772419,0.7249589751859159,1.621881518408517,0.6093000124117387
35,0.9359502825632836,0.7300833716705873,1.7027560973835882,0.6089555291997646
40,0.9235873642477017,0.7333835274700258,1.770292587369402,0.6071069845910562
45,0.9133568542674907,0.7362282604056002,1.8444567662533198,0.6050239960282436
50,0.9092797299611916,0.737122773277432,1.8974793235832286,0.6044410465394233
55,0.9063563346284107,0.7379170954905904,1.9497570712989736,0.6049596388643719
60,0.8959436626688948,0.7407204479056002,2.001706386280951,0.6036960549058547
65,0.8896553505971594,0.7427223046934285,2.0509569065593114,0.6026488144491027
70,0.8878092433063729,0.7429393152887388,2.072632697141059,0.604098287180053
75,0.8835638186017286,0.7441012008650781,2.112825013766779,0.6026979442483084
80,0.8800787627118305,0.745030958320686,2.140811496805922,0.6035575720800236
85,0.8775973085060861,0.7454551382986796,2.174317017893925,0.6033949553177406
90,0.8742508374371575,0.7463736020735317,2.198216519623159,0.6030889714805825
95,0.870197053383855,0.7475924006867506,2.21661039267745,0.6011752077817005
100,0.867065582547373,0.7484597612972378,2.2399210339394684,0.6008238291593115
