epoch,train_eval_loss,train_accuracy,train_f1,test_loss,test_accuracy,test_f1
0,4.768192573658471,0.06062443164595332,8.871868045749266e-06,4.768192573658471,0.06062443164595332,8.871868045749266e-06
5,1.7921615804617221,49.00841346153846,0.4465308942484476,1.9116296328387214,46.2261291300394,0.41738121936211015
10,1.6102664470672607,54.11658653846154,0.5062957757421787,1.7325994731153098,51.318581388299485,0.4791570024957238
15,1.4503983459793603,58.68389423076923,0.5600849508918332,1.6727381221299034,53.046377690209155,0.5027970605608666
20,1.4125728962513118,59.58533653846154,0.5776767968006011,1.6535868094962778,52.80387996362534,0.5081685103647073
25,1.3534936945025737,61.74879807692308,0.5993992632794476,1.63630804564189,53.59199757502273,0.5154971808074161
30,1.3103474751114845,61.71875,0.5993674220787103,1.6167248901232933,54.046680812367384,0.5207190250447179
35,1.285249616091068,63.04086538461539,0.6139729818554271,1.621418476683422,54.16792967565929,0.5221740723092276
40,1.2167086687225561,64.51322115384616,0.6303094157214301,1.616138864489435,54.50136404971203,0.5259608877766127
45,1.19322281732009,64.84375,0.6301356547705501,1.6191854957237983,54.22855410730524,0.52061392496164
50,1.2504199181611722,63.07091346153846,0.6154355511915169,1.6242125572510135,54.774173992118826,0.5313998955983846
55,1.1579648330807686,65.80528846153847,0.6432925423696526,1.6273464381116107,54.53167626553501,0.5305260769732788
60,1.1442129199321454,66.31610576923077,0.6482206414713972,1.628075880333058,55.1985450136405,0.5310072787325631
65,1.1150645372959285,67.21754807692308,0.6627350307275773,1.6171792007765724,54.59230069718097,0.5322284523011337
70,1.0565921423526912,68.29927884615384,0.6717218785579493,1.6128663886519312,55.380418308578356,0.53502093310408
75,1.1076126012664576,66.97716346153847,0.657586236283865,1.639187654245247,54.2891785389512,0.5223679567848819
80,1.0960576178935857,67.4579326923077,0.6595194468897403,1.6404470020127528,55.380418308578356,0.530773687511175
85,1.0935097737954214,67.4579326923077,0.6585360034161645,1.643175238544501,55.592603819339196,0.5317064791175117
90,1.0647860587789462,68.0889423076923,0.6706568921954683,1.652918973304693,55.28948166110943,0.5354016952652851
95,1.0375266631062214,69.140625,0.676949217534083,1.6530329828123445,55.3197938769324,0.5337717808015462
100,0.9870832889125898,70.40264423076923,0.6962786714844182,1.6445907655271512,55.62291603516217,0.541091905987618
105,1.0220352669174855,69.68149038461539,0.6869055075439192,1.660024530389934,55.10760836617157,0.5354731678294289
110,1.0229898252739356,68.84014423076923,0.6772591210179869,1.6735175882728355,55.44104274022431,0.5366254846463011
115,1.0173241948852172,69.47115384615384,0.6839837231124147,1.6453120731613011,55.653228250985144,0.5383640500436794
120,1.0106974737002299,70.46274038461539,0.694262847447987,1.67654153878249,55.653228250985144,0.5388038189869182
125,0.9952981672607936,69.47115384615384,0.682114318926804,1.6823145136671158,54.83479842376478,0.5311759891278682
130,1.0122279948913133,69.86177884615384,0.6893684953038843,1.688645407123473,55.13792058199454,0.5329714439025516
135,0.9615247232409624,71.39423076923077,0.704859468573906,1.6893505326752525,55.01667171870264,0.5347471416874866
140,0.9717107128638488,70.703125,0.6961575432217615,1.6957872880315317,55.13792058199454,0.5342301257206034
145,0.9810834601521492,69.8016826923077,0.6886634946993843,1.7142545748682856,55.44104274022431,0.5383363606747986
150,0.978865649837714,71.18389423076923,0.7013534258550849,1.6841986810119407,55.653228250985144,0.5374247842894626
155,0.9811599879310682,71.00360576923077,0.7003482000996429,1.7198609706846255,54.865110639587755,0.5336196450931183
160,0.9425307303093947,71.03365384615384,0.6991364831679905,1.69649893595177,54.62261291300394,0.5300342163137266
165,0.9589378530016313,70.85336538461539,0.6972930634067347,1.7060643330361078,55.380418308578356,0.5348548381832617
170,0.9580482026705375,71.00360576923077,0.7020842934446256,1.7167411382915905,54.652925128826915,0.5330381646750316
175,0.938341114956599,71.72475961538461,0.7086832548650815,1.7156820271200346,54.71354956047287,0.5307031014565952
180,0.8978642483170216,72.95673076923077,0.7211230619253842,1.7127771730561858,55.168232797817524,0.5376927040224354
185,0.9558269983300796,72.17548076923077,0.7118390213063004,1.7246693598413931,55.04698393452561,0.5365453785945086
190,0.906893239571498,72.20552884615384,0.7133028973606513,1.7238252371260263,55.562291603516215,0.5391180463860386
195,0.9265252850376643,72.11538461538461,0.7136555904946497,1.7383058729391654,55.44104274022431,0.538041516991574
200,0.9496410191059113,71.00360576923077,0.6985152045602281,1.730263763550416,55.28948166110943,0.534467113844485
