epoch,train_eval_loss,train_accuracy,train_f1,test_loss,test_accuracy,test_f1
0,4.905302456447056,0.872093023255814,0.011719385265896894,4.905302456447056,0.872093023255814,0.011719385265896894
1,2.6883821270682593,23.863636363636363,0.13284936147179896,2.8910365104675293,27.180232558139537,0.14913313063879005
2,2.4414924708279697,34.23295454545455,0.2579861253786186,2.6512561979747953,33.866279069767444,0.26262466752562136
3,2.255884576927532,37.21590909090909,0.3070444445796379,2.5185566686448597,35.46511627906977,0.30067530767665757
4,2.1551670106974514,36.78977272727273,0.3059511228578065,2.420259566534133,37.2093023255814,0.3236726092916866
5,2.0818404934623023,39.48863636363637,0.3226469222363623,2.343146766935076,38.66279069767442,0.3279043912759614
6,2.083783046765761,40.76704545454545,0.3501606055222269,2.3175223554883684,38.80813953488372,0.3507022975874169
7,1.9454985694451765,43.03977272727273,0.37695367899354876,2.295138342039926,37.93604651162791,0.35217978964048136
8,1.944330627268011,43.75,0.3987332878284649,2.2455779995237077,39.97093023255814,0.36871927427457774
9,1.8695700547911904,45.73863636363637,0.42406262393109095,2.22982580888839,41.424418604651166,0.38819490564335607
10,1.7604582580653103,48.86363636363637,0.45158389605642096,2.2065526303790866,40.98837209302326,0.3849870005997079
11,1.7807478417049756,49.71590909090909,0.4665184406361162,2.1724545785358975,42.151162790697676,0.38995020665474067
12,1.8594231388785623,46.44886363636363,0.4251404238242298,2.1823802902584983,41.133720930232556,0.3803194299473822
