Epoch,Train Loss,Test Loss,Test Accuracy
1,2.8241215671903346,2.4221856083188738,35.15742128935532
2,2.3156277184845298,2.193084398905436,41.30434782608695
3,2.1207562390194146,2.074933267775036,42.27886056971514
4,2.0044895061241683,2.003350865273249,44.377811094452774
